Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
2026-05-09,Hotel Loggiato dei Serviti Florence,Hotel Palazzo Stern Venice,Fixed,Transit,10:45,"Frecciarossa to Venezia S. Lucia","Firenze SMN → Venezia Santa Lucia",https://maps.google.com/?q=Venezia+Santa+Lucia,"Carriage 4, seats 22A/22B. 2h 5min. Validate ticket if printed.",TREN-IT-FRV-0455,€89 each,https://www.trenitalia.com,,
2026-05-09,Hotel Loggiato dei Serviti Florence,Hotel Palazzo Stern Venice,Fixed,Hotel,14:30,"Water taxi + check in: Palazzo Stern","Dorsoduro 2792, Venice",https://maps.google.com/?q=Palazzo+Stern+Venice,"Take Vaporetto Line 1 from Ferrovia to Ca' Rezzonico. Palazzo is 2-min walk.",STERN-VE-77621,"€1,650 (3 nts)",,,
2026-05-10,Hotel Palazzo Stern Venice,Hotel Palazzo Stern Venice,Fixed,Activity,10:00,"Doge's Palace / Palazzo Ducale","Piazza San Marco 1",https://maps.google.com/?q=Doge's+Palace+Venice,"Advance purchase €25 (booked >30 days ahead). Secret Itineraries tour highly recommended.",DOG-20260510-1000,€25,https://palazzoducale.visitmuve.it,,
2026-05-12,Hotel Palazzo Stern Venice,Home,Fixed,Hotel,10:00,"Check out: Palazzo Stern","Dorsoduro 2792, Venice",,"Leave bags at reception if needed.",,,,,
2026-05-12,Hotel Palazzo Stern Venice,Home,Fixed,Transit,12:30,"Water taxi to Venice Marco Polo (VCE)","Alilaguna Blue Line",https://maps.google.com/?q=Venice+Marco+Polo+Airport,"Alilaguna from San Marco — Blue Line goes to VCE. ~1h 15min. Arrive airport 2h before flight.",ALG-BL-20260512,€15 each,https://www.alilaguna.it,,
2026-05-12,Hotel Palazzo Stern Venice,Home,Fixed,Flight,16:55,"Return flight: UA 191","Venice (VCE) → Newark (EWR)",https://maps.google.com/?q=Venice+Marco+Polo+Airport,"Departure 4:55 PM local. Arrive EWR 9:45 PM EDT.",UA-191-3M8N1,,https://united.com,,
,,,Bank,Food,,"Armando al Pantheon","Salita de' Crescenzi 31",https://maps.google.com/?q=Armando+al+Pantheon+Rome,"Stanley Tucci came here for pasta. Tiny and famous — book ahead.",,,,Rome,food|reservation|splurge
,,,Bank,Activity,,"Piazza Navona + Four Rivers Fountain","Piazza Navona",https://maps.google.com/?q=Piazza+Navona,"Best at night — the fountain is illuminated.",,,,Rome,walk|evening|view|free
,,,Bank,Food,,"Ristoro degli Angeli","Via L. Capucci 28",https://maps.google.com/?q=Ristoro+degli+Angeli,"GF tiramisu. Fried zucchini blossoms stuffed with mozzarella and anchovies.",,,,Rome,food|gluten-free
,,,Bank,Activity,,"Domus Aurea","Viale della Domus Aurea",https://maps.google.com/?q=Domus+Aurea,"Nero's palace — VR-guided tour. Also a cat sanctuary. Book in advance.",,,,Rome,museum|book-ahead
,,,Bank,Food,,"Cimarra 4 Pizzeria & Cocktail Bar","Via Cimarra 4",https://maps.google.com/?q=Cimarra+4+Rome,"GF-friendly Roman pizza. Casual.",,,,Rome,food|casual|gluten-free
,,,Bank,Activity,,"Centro Storico + Pantheon + Trevi Fountain","Pantheon, Rome",https://maps.google.com/?q=Pantheon+Rome,"Go early morning (before 8) — empty and magical.",,,,Rome,walk|morning|free
,,,Bank,Activity,,"Janiculum Hill panorama","Gianicolo, Rome",https://maps.google.com/?q=Janiculum+Hill,"Time it for the noon cannon shot. Golden hour: Giardini degli Aranci on Aventine.",,,,Rome,view|free|walk
,,,Bank,Food,,"Glass Hostaria","Vicolo del Cinque 58",https://maps.google.com/?q=Glass+Hostaria+Rome,"Michelin-starred tasting menu in Trastevere.",,,,Rome,food|splurge|reservation
,,,Bank,Food,,"Osteria dello Sgrano","Via Pietrapiana 25",https://maps.google.com/?q=Osteria+dello+Sgrano+Florence,"GF pasta — the reason to come. Book for 8 PM.",,,,Florence,food|reservation|gluten-free
,,,Bank,Food,,"Antica Gelateria Fiorentina","Via Faenza 2A",https://maps.google.com/?q=Antica+Gelateria+Fiorentina,"GF cones!",,,,Florence,food|casual|gluten-free
,,,Bank,Activity,,"Duomo di Firenze — climb the dome","Piazza del Duomo",https://maps.google.com/?q=Duomo+di+Firenze,"463 steps. Not for the claustrophobic. Book early morning slot.",,,,Florence,view|book-ahead|steep
,,,Bank,Food,,"Le Volpi e l'Uva","Piazza dei Rossi 1",https://maps.google.com/?q=Le+Volpi+e+l+Uva,"Wine from all over Italy plus local varietals. Cheese plates.",,,,Florence,food|wine|casual
,,,Bank,Food,,"Risotteria Melotti Firenze","Via dei Macci 79",https://maps.google.com/?q=Risotteria+Melotti+Firenze,"Risotto-only spot. Reservations essential.",,,,Florence,food|reservation
,,,Bank,Activity,,"Day trip: Siena or San Gimignano","Tuscany",https://maps.google.com/?q=Siena+Italy,"1hr drive each way. ZTL in Siena — park outside walls at Parcheggio Il Campo.",,,,Florence,day-trip|walk
,,,Bank,Food,,"5ecinque — Natural Vegetarian","Piazza della Passera 1",https://maps.google.com/?q=5ecinque+Florence,"Seasonal, organic, everything house-made.",,,,Florence,food|vegetarian
,,,Bank,Activity,,"Piazza San Marco + St. Mark's Basilica","Piazza San Marco",https://maps.google.com/?q=Piazza+San+Marco,"Free entry to basilica but queues are brutal. Skip-the-line ticket worth it.",,,,Venice,landmark|walk|free
,,,Bank,Food,,"Osteria alle Testiere","Calle del Mondo Novo 5801",https://maps.google.com/?q=Osteria+alle+Testiere+Venice,"Tiny seafood spot. Two seatings only — book weeks ahead.",,,,Venice,food|reservation|splurge
,,,Bank,Activity,,"Burano + Torcello day trip","Burano, Venice",https://maps.google.com/?q=Burano+Venice,"Vaporetto Line 12 from Fondamente Nove. ~45 min each way. Bring the multi-day pass.",,,,Venice,day-trip|boat
,,,Bank,Activity,,"Peggy Guggenheim Collection","Dorsoduro 701",https://maps.google.com/?q=Peggy+Guggenheim+Collection,"5-min walk from hotel. Small but fantastic modern art.",,,,Venice,museum
